word,count
phone,22020
iphone,20399
ios,16132
update,15894
fix,14516
all,10014
new,9048
battery,8529
now,8166
get,6251
since,5970
after,5383
still,5186
app,5154
out,5038
like,4965
time,4943
updated,4858
been,4767
off,4608
screen,4507
any,4293
shit,4247
apps,4185
work,4149
thanks,4091
there,4087
issue,4048
amp,4038
hey,3927
problem,3844
back,3692
every,3682
don,3664
even,3657
working,3560
music,3451
going,3385
doesn,3332
one,3239
only,3048
won,3013
keeps,3005
use,2911
had,2898
got,2832
letter,2699
really,2588
question,2583
getting,2545
type,2483
last,2452
having,2416
plus,2404
yes,2395
wtf,2385
wifi,2310
same,2306
ever,2294
latest,2292
then,2247
tried,2238
know,2175
again,2174
life,2162
bug,2159
keep,2124
slow,2093
times,2085
day,2082
want,2078
issues,2065
using,2065
ipad,2050
make,2048
see,2035
glitch,2024
because,1994
updates,1956
store,1947
turn,1932
also,1932
before,1924
freezing,1902
these,1887
some,1872
annoying,1855
thank,1845
software,1825
itunes,1804
down,1798
already,1790
never,1788
fucking,1782
way,1738
into,1731
watch,1718
trying,1691
fixed,1681
very,1674
them,1663
mark,1648
icloud,1643
didn,1636
too,1626
stop,1615
keyboard,1603
thing,1594
than,1585
nothing,1563
more,1559
guys,1550
macbook,1546
other,1520
text,1505
over,1503
updating,1483
hours,1480
old,1479
photos,1476
open,1466
happening,1445
without,1430
anyone,1403
download,1384
box,1363
email,1358
try,1354
charge,1351
everything,1350
much,1348
bluetooth,1345
call,1337
dear,1334
fuck,1327
doing,1325
should,1312
today,1308
anything,1306
reset,1304
freezes,1303
isn,1292
right,1264
minutes,1262
else,1261
days,1251
says,1238
let,1229
while,1220
problems,1212
message,1210
come,1207
done,1206
messages,1204
calls,1198
mac,1193
something,1184
crashing,1182
send,1180
upgrade,1169
works,1167
being,1157
think,1150
together,1144
restart,1126
version,1120
phones,1107
sierra,1101
pro,1097
many,1089
wrong,1067
turning,1067
service,1055
damn,1048
happens,1040
account,1039
home,1036
ago,1031
randomly,1031
change,1030
able,1029
settings,1024
running,1018
sucks,1012
pls,1011
well,1010
high,1003
here,999
stupid,995
happened,992
seems,982
buy,975
fine,974
good,971
two,968
which,968
button,966
error,963
take,960
notifications,946
first,941
through,938
device,938
tell,935
touch,928
used,927
started,925
camera,920
lock,917
few,913
people,909
gone,905
anymore,902
another,901
itself,900
turned,899
weird,896
yet,896
always,893
boxes,878
draining,875
gonna,873
until,872
seeing,871
made,869
making,865
their,859
deleted,858
went,857
worst,857
pay,850
bad,849
charging,848
charger,837
bought,831
control,824
someone,823
password,820
play,814
bugs,813
lost,811
hate,810
tired,809
fast,806
showing,798
show,797
iphonex,790
hello,789
both,782
most,780
restarting,780
week,779
connect,773
constantly,768
marks,760
find,759
worked,757
longer,753
downloaded,752
mode,752
stuck,751
needs,746
literally,737
look,736
haven,734
data,730
hour,724
love,724
lot,721
say,715
hell,714
que,713
completely,711
order,708
months,703
yesterday,703
sure,702
hard,702
set,700
sometimes,697
cant,696
night,686
reason,686
goes,686
eye,684
auto,680
playing,679
next,678
asap,678
android,678
imessage,676
siri,675
cannot,674
explain,673
long,672
seriously,671
though,669
customer,667
full,666
saying,664
crashes,662
black,656
better,653
soon,651
shows,650
check,648
sound,643
coming,639
put,637
morning,636
restarted,635
start,634
date,632
iphones,631
card,629
option,626
drains,622
sent,621
twitter,621
access,619
delete,618
upgraded,613
month,613
switch,613
typing,612
computer,611
mail,610
comes,610
great,607
year,604
weeks,600
stopped,598
devices,596
number,592
drain,589
connected,589
actually,583
terrible,582
volume,581
contacts,580
our,579
came,579
give,577
half,574
turns,572
storage,571
who,571
worse,571
autocorrect,571
gets,571
own,568
broken,567
recent,566
songs,566
normal,563
whole,563
makes,562
case,561
sort,557
video,552
freeze,550
instead,550
automatically,548
left,546
safari,545
install,543
restore,541
changing,541
available,540
power,539
via,539
installed,539
either,535
bar,534
center,533
notification,530
once,528
alarm,528
things,526
seconds,526
less,524
twice,524
crazy,521
cause,518
years,518
system,516
pictures,516
ass,513
release,512
backup,510
laptop,509
almost,508
etc,505
okay,505
mine,505
fucked,505
videos,504
super,504
photo,503
library,499
messed,498
add,497
unable,497
happen,495
said,487
plz,487
tweet,485
properly,484
solution,480
bullshit,480
correct,480
crap,478
locked,476
frustrating,476
texts,475
charged,474
whenever,473
money,469
purchased,468
thought,465
real,465
hasn,465
glitches,464
brand,461
load,460
multiple,459
away,455
macos,454
sick,452
random,450
slower,448
air,444
dies,443
song,442
headphones,441
different,440
point,438
idea,434
looks,433
fixing,432
beta,432
useless,432
acting,431
changed,428
contact,427
feature,426
newest,426
internet,426
glitching,424
emails,423
disappointed,423
care,422
everyone,420
network,419
possible,419
dying,418
purchase,417
around,417
horrible,417
takes,415
upgrading,415
broke,415
second,413
hear,412
wanna,411
later,410
buggy,410
mins,410
car,410
free,405
crash,404
connection,404
suddenly,404
ridiculous,403
received,401
brightness,400
podcast,399
response,398
click,398
receive,398
told,397
speaker,396
stops,396
yeah,396
close,395
waiting,393
stuff,393
ruined,393
album,390
awful,386
switching,386
least,386
glitchy,384
little,383
past,383
trash,383
lol,381
driving,381
took,378
looking,378
taking,376
supposed,375
those,375
wont,374
several,373
address,373
reply,372
ideas,372
unlock,371
wait,369
lag,369
everytime,368
seem,367
top,367
code,367
replacement,366
sign,365
enough,365
mean,361
live,360
experience,360
emojis,359
fixes,359
quick,357
run,356
read,356
currently,356
facetime,355
sync,347
downloading,347
hope,347
reboot,345
pretty,344
faster,344
annoyed,343
shut,343
online,342
mess,341
series,340
under,340
killing,338
setting,338
unresponsive,338
listen,336
dropped,335
none,334
maybe,334
changes,334
situation,333
word,333
dont,333
gives,332
hot,332
info,329
recently,329
low,329
sending,328
quickly,328
loading,326
missing,325
aren,325
snapchat,325
answer,325
asking,325
fail,325
due,322
frozen,320
imac,320
space,320
garbage,320
warranty,319
audio,318
products,316
user,316
messing,316
couple,316
force,315
lagging,315
dead,314
hold,314
chat,314
log,313
symbol,312
yall,312
figure,311
icon,310
noticed,310
face,310
page,308
appears,307
minute,306
thx,305
unusable,305
whatsapp,303
man,303
such,302
within,302
solve,302
person,301
trouble,301
display,300
search,300
between,299
happy,299
save,298
far,298
files,297
found,297
plugged,296
pop,296
she,294
capital,293
understand,293
mad,293
wasn,293
cellular,291
lose,291
maps,291
three,290
emoji,287
previous,286
min,285
talk,285
popping,285
smh,285
each,284
samsung,284
users,284
installing,283
spotify,281
mobile,281
may,281
absolutely,281
link,280
gotta,279
couldn,278
starting,278
feel,277
her,277
might,277
buying,276
poor,274
god,274
press,273
paid,273
notes,272
cool,272
starts,272
suggestions,271
died,271
replaced,270
opening,269
appear,269
non,268
big,268
disappeared,266
barely,266
during,266
security,266
payment,266
product,266
nice,264
shutting,264
podcasts,264
often,263
move,261
shouldn,260
remove,260
youtube,258
dumb,258
facing,258
current,257
logo,256
piece,256
released,255
list,255
guess,254
crashed,254
rid,253
deal,253
symbols,253
die,252
ask,252
ones,251
telling,251
become,251
replace,250
single,250
screenshot,249
end,249
buttons,248
sorry,248
ipod,247
checked,247
con,247
health,246
fully,244
resetting,244
anyway,243
late,243
sudden,242
restarts,242
plan,241
website,240
facebook,239
whatever,239
downgrade,239
nope,238
genius,238
repair,238
location,237
believe,237
others,237
totally,236
called,236
mon,236
perfectly,236
wish,236
losing,235
deleting,235
sim,234
side,234
airpods,233
screwed,231
activate,231
disabled,231
drive,230
pics,229
laggy,229
frustrated,229
google,229
steps,227
voice,227
suck,225
lags,225
autocorrecting,224
login,224
blank,224
appreciate,224
picture,223
complete,223
enter,223
pre,222
quality,222
finally,222
game,222
giving,222
joke,222
drop,222
seen,220
performance,220
receiving,219
myself,219
pissed,219
words,218
known,217
allow,217
ain,217
wouldn,216
respond,216
failed,216
shuts,216
clock,215
wanted,215
best,214
experiencing,214
must,214
media,213
credit,213
listening,213
forever,213
instagram,212
plug,212
unless,211
write,211
centre,210
white,210
background,210
return,210
refund,210
answers,209
idk,208
recovery,208
restored,207
extremely,207
advise,207
friends,206
causing,206
hit,206
wow,206
his,206
usb,204
entire,204
resolve,204
company,204
cancel,204
est,204
subscription,203
doesnt,203
immediately,202
numbers,202
stay,202
connecting,202
swipe,201
name,200
calendar,200
taken,200
place,200
family,199
asked,199
kind,199
function,198
job,198
team,198
major,198
information,198
scam,198
roll,197
cable,196
windows,196
fact,195
ugh,195
post,192
report,192
fuckin,192
bit,192
pops,191
matter,191
pissing,190
however,189
wife,189
wth,189
correctly,189
shitty,189
certain,188
letters,188
ive,187
rebooting,186
activation,185
customers,185
meu,185
omg,184
resolved,183
wants,183
expect,183
highsierra,182
imessages,182
process,181
serious,181
texting,181
whats,181
bottom,181
mini,180
india,180
apparently,179
basically,179
factory,179
older,178
leave,178
alarms,178
cut,176
added,176
appointment,176
characters,176
friend,176
bring,176
sleep,175
verification,175
dropping,175
usage,175
program,174
freaking,174
till,174
line,174
mind,174
heck,174
sounds,173
constant,173
share,172
hrs,172
quite,172
wake,172
lasts,171
throw,171
middle,170
part,170
ready,170
wondering,169
manually,169
impossible,168
spent,168
calling,167
bro,167
tweets,167
silent,166
tho,166
swear,166
model,166
playlist,165
default,164
advice,164
removed,163
usually,163
carrier,162
hangs,162
tomorrow,162
passcode,162
closing,161
runs,161
responding,160
killed,160
break,160
paying,160
clear,160
activity,159
appstore,159
exclamation,159
drops,159
verify,158
hanging,158
mbp,158
key,158
voicemail,158
disable,157
server,157
actual,156
thinking,156
recording,156
third,156
froze,155
gps,155
test,154
saved,153
letting,153
news,153
legit,153
except,152
boot,152
moment,152
daily,152
ruining,151
per,151
inside,151
upset,151
original,151
view,150
questions,150
talking,150
gave,149
especially,149
earlier,148
tap,148
closed,148
playlists,148
cloud,148
pause,148
decided,148
important,148
menu,148
solved,147
ordered,147
exactly,147
loop,146
details,145
spinning,145
pick,145
honestly,145
fake,144
social,144
lately,144
machine,144
opened,144
wireless,144
icons,143
disappear,143
bruh,143
moving,143
por,143
file,142
status,141
book,141
pages,141
ring,141
record,141
provide,141
noise,141
watchos,140
anybody,140
landscape,140
tips,140
sms,139
disaster,139
woke,139
para,139
lte,139
luck,139
select,139
window,139
switched,138
business,138
straight,138
nonsense,138
cash,137
forgot,137
nor,137
despite,136
options,136
funny,136
signed,136
chance,136
probably,135
forced,135
including,135
absolute,135
stays,134
huge,134
folder,134
lots,134
site,134
percentage,134
needed,133
restoring,133
charges,133
sorted,132
drained,132
caused,132
hardware,132
step,131
com,131
group,131
hand,131
light,130
helpful,130
unacceptable,130
signal,130
sad,130
recover,130
remember,129
clearly,129
kept,129
confused,129
nowhere,129
accidentally,129
slowed,128
definitely,128
below,128
headphone,128
plays,128
screens,128
anywhere,128
self,128
tech,127
safe,127
gift,127
expensive,127
cracked,127
fed,127
application,127
world,127
calculator,126
fixit,126
transfer,126
double,126
anytime,126
act,126
typed,125
appearing,125
sharing,125
feels,125
everywhere,125
celular,125
alright,125
setup,124
unlocked,124
perfect,124
speak,124
destroyed,124
patch,124
quit,123
backed,123
extra,122
house,122
yep,122
rather,121
hang,121
edit,121
smart,121
square,121
services,121
chargers,121
pair,120
continue,120
enabled,120
speed,120
logged,120
normally,120
somehow,120
refresh,120
onto,119
accounts,119
note,119
replacing,119
applewatch,119
awesome,119
speakers,119
slowly,119
launch,119
hung,118
example,118
create,118
reservation,118
continues,118
fails,118
cuz,117
gotten,117
miss,117
didnt,117
english,117
beyond,117
helped,117
kinda,117
adapter,116
fan,116
green,116
nightmare,116
worth,116
red,116
heard,116
recognize,116
problema,116
spend,116
mid,116
tells,116
putting,116
nah,116
loads,115
sense,115
shortcut,115
autocorrects,115
albums,114
cost,114
considering,114
general,114
airplane,114
screenshots,114
insane,114
feedback,114
unfortunately,113
resets,113
syncing,113
fire,113
everyday,113
fault,113
weather,113
watching,113
applecare,112
btw,112
strange,112
push,112
public,112
searching,112
tripping,112
macbookpro,112
failing,112
airdrop,112
specific,111
cell,111
request,111
son,111
keys,111
frequently,110
kindly,110
bateria,110
means,110
image,110
total,110
near,109
amount,109
purchases,109
loyal,109
sos,109
aye,109
attached,108
irritating,108
aware,108
party,108
given,108
nearly,108
brick,108
features,107
followed,107
memory,107
water,107
heating,107
supported,107
sooo,106
disappearing,106
portrait,106
blue,105
simple,105
stream,105
alone,105
true,105
dude,105
adding,105
wassup,105
across,105
upload,104
mistake,104
las,104
figured,104
locking,104
desktop,104
soooo,104
remote,104
track,104
neither,104
earphones,104
revert,103
ear,103
phishing,103
helping,103
clean,103
disturb,103
los,103
correcting,103
operating,102
history,102
excuse,102
friday,102
content,102
regarding,101
choose,101
expected,101
following,101
notice,101
missed,101
errors,101
hurry,101
looked,101
glad,101
stand,100
closes,100
rebooted,100
five,100
ability,100
delivery,100
pas,100
copy,100
regular,100
difficult,100
delivered,100
confirm,99
versions,99
accept,99
bunch,99
fam,99
les,99
wall,99
faulty,98
boxed,98
front,98
gen,98
percent,98
personal,97
networks,97
stores,97
short,97
games,97
main,97
spam,97
applesupport,97
rate,96
character,96
disconnecting,96
regret,96
sincerely,96
billing,96
bricked,95
isnt,95
web,95
alert,95
overnight,94
tonight,94
batteries,94
forcing,94
becomes,94
angry,94
downloads,94
hoping,94
locks,94
holding,94
applications,93
thru,93
steve,93
shocking,93
bout,93
beats,93
lightning,93
shot,92
dock,92
widget,92
controls,92
factor,92
above,91
created,91
corner,91
incorrect,91
reading,91
predictive,91
wheel,91
simply,90
scroll,90
refuses,90
movies,90
price,90
port,90
complaint,90
loud,90
compatible,90
responsive,90
progress,89
zero,89
preorder,89
assist,89
overall,89
course,89
easy,88
prior,88
flash,88
imovie,88
del,88
method,88
somebody,88
meant,88
experienced,88
msg,88
jour,88
hotspot,87
dark,87
handle,87
opens,87
external,87
article,87
solutions,87
pour,87
reinstall,86
disappears,86
names,86
radio,86
sitting,86
difference,86
asks,86
mostly,86
thoughts,86
unavailable,86
blocked,86
writing,86
yea,86
pic,86
pull,86
circle,86
guy,86
una,86
verizon,85
saw,85
passwords,85
nada,85
images,85
occurred,85
official,85
mais,85
bank,85
ppl,85
exact,85
disconnects,85
incredibly,84
suppose,84
four,84
glass,84
quicker,84
finger,84
enable,84
block,84
lower,84
connectivity,84
